INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Lon_Lat,X_COORD_NORM,Y_COORD_NORM,Longitude,Latitude
65010708,08/23/2009,04:29:00,MANHATTAN,9,0,NA,FALSE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,989622.9375,205257.125,POINT (-73.98061545999997 40.730066663000066),-19831.6211374472,-2636.65190744624,-73.98061546000002,40.730066663000095
197016008,05/09/2019,01:32:00,MANHATTAN,1,0,BAR/NIGHT CLUB,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,982761.5,204594.59375,POINT (-74.00537192799999 40.72824968200007),-26693.0586374472,-3299.18315744624,-74.00537192800002,40.72824968200009
73647519,07/12/2010,22:30:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,FALSE,NA,NA,NA,25-44,M,BLACK,990377.8125,204681.3125,POINT (-73.97789233399999 40.72848570700006),-19076.7461374472,-3212.46440744624,-73.97789233400003,40.7284857070001
64804438,08/16/2009,04:57:00,MANHATTAN,9,0,PHOTO/COPY STORE,FALSE,25-44,M,BLACK,25-44,M,BLACK HISPANIC,990725,204176,POINT (-73.97664016999994 40.72709850100006),-18729.5586374472,-3717.77690744624,-73.97664016999994,40.72709850100009
75356376,11/01/2010,23:20:00,MANHATTAN,6,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,18-24,M,WHITE,984024.75,204863.984375,POINT (-74.00081415399995 40.72898921600006),-25429.8086374472,-3029.79253244624,-74.00081415400001,40.728989216000095
204154391,10/23/2019,15:16:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,982756.375,210140,POINT (-74.00539165099997 40.743470456000075),-26698.1836374472,2246.22309255376,-74.00539165100002,40.74347045600009
50703403,09/01/2008,04:15:00,MANHATTAN,9,0,BAR/NIGHT CLUB,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK,987125.8125,202964.578125,POINT (-73.98962626499997 40.72377534300006),-22328.7461374472,-4929.19878244624,-73.989626265,40.72377534300009
81701068,11/15/2011,02:23:00,MANHATTAN,10,0,BAR/NIGHT CLUB,FALSE,45-64,M,BLACK,25-44,M,BLACK,982399.25,211453.25,POINT (-74.00668080699995 40.74707493100004),-27055.3086374472,3559.47309255376,-74.00668080700001,40.74707493099999
47044336,06/07/2008,03:40:00,MANHATTAN,13,0,BAR/NIGHT CLUB,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,986313.6875,209006.578125,POINT (-73.99255434899999 40.74035938000003),-23140.8711374472,1112.80121755376,-73.99255434900002,40.740359379999994
11118235,04/26/2006,21:05:00,MANHATTAN,6,0,NA,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,982301.125,204919.6875,POINT (-74.00703304699994 40.729141896000044),-27153.4336374472,-2974.08940744624,-74.00703304699992,40.72914189599999
46452064,05/14/2008,23:00:00,MANHATTAN,10,0,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,984685.6875,209908.390625,POINT (-73.99842915199997 40.74283486100006),-24768.8711374472,2014.61371755376,-73.99842915200003,40.7428348610001
74788924,09/26/2010,21:30:00,MANHATTAN,9,0,MULTI DWELL - APT BUILD,FALSE,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,WHITE,987756,204106.046875,POINT (-73.98735211899998 40.72690817100005),-21698.5586374472,-3787.73003244624,-73.987352119,40.7269081710001
37902780,01/21/2008,06:01:00,MANHATTAN,10,0,RESTAURANT/DINER,FALSE,NA,NA,NA,25-44,M,BLACK,984276,211025.578125,POINT (-73.99990761599997 40.745901272000026),-25178.5586374472,3131.80121755376,-73.99990761600003,40.745901272
34307320,09/10/2007,04:24:00,MANHATTAN,10,0,NA,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,985902.0625,211177.828125,POINT (-73.99403921999995 40.74631900600008),-23552.4961374472,3284.05121755376,-73.99403921999993,40.74631900600009
87005768,10/01/2012,00:15:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,FALSE,NA,NA,NA,18-24,M,WHITE HISPANIC,990397.9375,204360.78125,POINT (-73.97782001599995 40.72760591300005),-19056.6211374472,-3532.99565744624,-73.97782001600001,40.727605913000104
48395043,07/16/2008,18:10:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,983906.875,212138.046875,POINT (-74.00123982199995 40.748954714000035),-25547.6836374472,4244.26996755376,-74.00123982200002,40.748954714
146877501,10/12/2015,04:03:00,MANHATTAN,13,0,NA,FALSE,25-44,M,BLACK,18-24,F,BLACK,987111.5625,208704.234375,POINT (-73.98967523599998 40.739529299000026),-22342.9961374472,810.457467553759,-73.98967523600002,40.739529299
214690556,06/26/2020,00:30:00,MANHATTAN,13,0,NA,TRUE,25-44,M,BLACK,18-24,M,WHITE HISPANIC,987583.4375,210248,POINT (-73.98797166599996 40.74376638700005),-21871.1211374472,2354.22309255376,-73.98797166600004,40.7437663870001
